scan1	scan2	scan3	scan4
1713.4063	2709.2678	4725.7798	7142.2324
1478.7739	2304.4153	4078.8420	6014.8965
1104.5637	1795.0000	3040.8254	5032.5703
934.0282	1506.7972	2643.6689	3952.8623
738.1447	1075.3853	1896.6917	2701.1638
481.7813	716.0000	1270.6061	2072.7000
2800.3623	4357.1890	7755.9863	12519.3721
659.9648	1028.0490	1750.2245	2851.2617
600.3674	912.6443	1676.3289	2627.4766
528.9187	803.8276	1422.5775	2190.8657
1658.2177	2710.4797	4868.6509	7818.8618
1548.7853	2456.7920	4329.6509	7143.0537
663.0082	1012.4907	1750.8750	2633.1943
3595.0334	5687.7114	10138.7646	16347.8125
283.5454	433.0625	720.6500	1135.5555
2773.5100	4546.7046	8239.3486	13031.1816
587.1476	903.8367	1588.4552	2503.8345
704.9076	1048.2721	1858.4586	2932.0081
2070.2349	3210.5571	5642.7651	8742.6172
627.8000	782.6000	1459.5714	2415.3333
963.6309	1536.5436	2672.8389	4174.7026
516.3969	794.6638	1427.6434	2248.0513
2498.5437	3945.2014	7187.0737	11517.2354
1287.9121	1995.3490	3606.8792	5499.1538
1495.0411	2350.9177	4058.8289	6508.2705
396.0000	473.0000	980.0000	2160.0000
623.6884	980.3106	1681.6320	2770.0071
358.9397	606.2095	991.1095	1552.9341
325.8125	521.7273	912.8500	1479.8334
1103.3900	1717.6143	3073.0566	4994.2705
850.9664	1315.7383	2352.1477	3740.8120
359.6667	583.0000	940.0000	1364.8000
727.8750	1080.0834	1875.5000	2364.1819
236.0000	391.0000	901.0000	1484.0000
429.5208	625.1000	1134.1864	1632.7869
508.1111	801.2537	1400.6567	2236.1499
245.3333	447.3333	681.0000	1161.0000
1334.6666	2100.0337	3704.8918	5754.4888
570.0185	811.7558	1469.7500	2162.4719
553.0000	614.2500	970.2500	1924.2500
1122.5369	1758.8792	3035.2148	4861.3691
814.3035	1281.3741	2256.0339	3489.5073
1152.4698	1819.1611	3260.0940	4865.0205
499.3130	770.0839	1306.6884	2225.4385
426.5000	592.7500	1064.2500	1757.8572
380.3095	598.4634	935.2949	1363.4935
1272.0269	1995.8456	3480.7651	5136.2002
4715.5840	7311.3960	12591.2080	18317.8340
423.7632	561.5192	980.6000	1648.3704
517.3549	747.8823	1289.5652	1980.1818
1038.5100	1611.5436	2856.0066	4582.3354
397.5800	558.6364	1000.4407	1489.3529
1845.9597	2882.0537	5105.9263	7698.0674
2834.4631	4460.0469	7922.2080	12337.4697
338.0286	497.2353	916.3658	1525.5862
1022.2721	1591.6376	2865.7366	4600.5366
559.9143	814.3774	1393.8656	2274.8208
1195.4229	1846.6644	3287.5068	5387.5781
362.3333	482.7500	823.5555	1579.0000
477.0110	746.9474	1284.9314	1944.7527
293.0000	391.0000	669.0000	1254.0000
369.0000	585.5000	917.0000	1688.5000
2234.9194	3592.5234	6283.0737	10127.6279
2397.2820	3695.6646	6710.4092	10747.9199
2014.3334	3083.9456	5454.4092	8228.3672
435.2500	662.0403	1267.9896	1879.0098
820.2567	1241.3087	2243.2568	3396.8726
429.1905	568.1219	1080.5333	1645.4242
408.0588	608.9091	1023.1667	1615.1163
367.0000	486.0000	1026.0000	1258.0000
638.4883	1014.4427	1730.0303	2699.1008
1717.9116	2696.0537	4833.9126	7604.6904
1922.6376	3025.1006	5206.0610	8518.1484
1128.0806	1797.2013	3085.9866	4516.2778
1589.3289	2462.3088	4367.3555	6258.3408
634.9708	1019.9930	1756.3846	2829.2280
998.4765	1469.9799	2620.4229	3928.6260
1305.5302	2084.8389	3708.4595	5730.1406
502.5701	758.3817	1366.2280	2175.0833
795.6389	1193.9370	2186.3445	3388.1323
240.0000	403.0000	571.0000	1256.0000
368.6667	531.0588	936.3903	1524.3334
529.0895	816.7316	1463.7279	2252.8706
375.0000	598.5000	1074.5000	1617.0000
530.7385	810.1385	1453.2681	2209.7891
286.0000	461.0000	955.0000	1373.0000
547.4631	874.4150	1490.1700	2475.7466
417.3171	593.0513	1034.7241	1590.5862
1404.3557	2148.9666	3894.5637	6115.2080
685.7664	1037.9728	1832.7748	2901.6125
374.3333	604.5000	959.0000	1561.0000
341.0000	468.0000	1070.0000	1491.0000
300.0000	782.0000	1269.0000	1245.0000
439.8702	678.1761	1227.0508	1963.0769
2697.2214	4284.1475	7145.0337	11167.4619
963.7361	1605.2072	2762.7104	4531.0220
522.1783	794.1374	1390.9200	2367.3613
1730.3469	2830.9526	4916.3223	7596.4565
454.4234	671.4122	1186.6985	2019.2638
1793.9866	2847.3892	5152.4028	7189.2129
569.8046	892.3171	1618.1951	2430.7778
1688.6241	2712.6870	4989.9731	7989.5234
863.7584	1327.7920	2175.4026	3345.3438
1208.7316	1849.5570	3209.1140	5101.7715
340.5000	526.5000	845.7778	1485.6666
1534.6351	2387.5442	4263.4541	6924.0630
683.0373	1044.7836	1918.9254	2834.2783
561.4800	869.0847	1498.8060	2467.2856
1039.2751	1664.1904	3027.8896	4854.9058
1272.2416	2001.2953	3541.5034	5010.3169
335.0000	566.0000	831.0000	1812.0000
1222.7163	1960.5493	3463.0864	5870.3208
481.0000	757.0000	1543.0000	2308.0000
1046.5137	1626.6376	2972.8926	4776.2217
1118.1343	1792.5771	3079.6511	4958.5850
2239.8098	3676.8582	6264.2500	9235.5742
1295.1160	1973.0935	3532.9209	5363.7939
566.0000	695.8000	1161.8334	1715.0000
1775.8657	2714.2214	4618.6230	7670.2363
1545.8911	2400.0000	4406.5034	6911.0479
266.0000	371.0000	662.0000	1079.0000
415.9577	614.1579	1091.2667	1770.2739
390.2051	523.5379	914.5403	1567.9600
780.9787	1213.9637	2238.6201	3563.9231
261.0000	461.0000	751.0000	1185.0000
478.0000	691.0000	1153.0000	1930.3750
3405.9258	5318.5166	9674.1816	13472.9639
1003.0403	1511.1879	2717.1013	4347.9043
686.2500	1035.5579	1823.2041	2665.6047
713.0225	1055.9778	1812.1682	2621.9197
982.5000	1605.0067	2751.3357	4410.3120
839.7986	1291.0201	2250.1292	3362.0969
1693.5035	2695.8904	4762.7988	7685.7759
462.1698	654.7500	1121.6333	1740.5167
847.9111	1271.5217	2196.1628	3379.0212
2766.4497	4542.4028	7960.9531	13403.0410
529.7568	829.1141	1429.9194	2202.2546
1562.9127	2589.7314	4496.3691	7160.9600
2493.8254	3784.4229	6738.7783	9368.9277
268.0000	460.0000	660.0000	1180.0000
334.2353	451.3940	828.2500	1276.0769
356.5000	521.7143	904.3000	1341.0000
334.4000	520.5000	855.8000	1508.7500
367.5714	527.6667	848.6896	1411.5151
464.5000	643.5714	1109.0834	1724.3334
408.3571	602.9688	1076.7255	1533.1333
305.0000	417.6429	722.9524	1156.4800
597.3587	876.1909	1535.1544	2481.8091
1351.5167	2078.6646	3689.9800	5679.2642
355.4783	551.3265	953.0439	1467.3143
537.6429	866.8286	1459.1250	2305.7954
1054.4564	1689.7450	2968.4229	4584.9795
921.2800	1366.0000	2506.5200	4018.2610
1128.6644	1728.6107	3149.8726	4938.0601
492.8661	762.8793	1357.5118	2142.0908
900.3020	1432.4631	2609.1946	3754.5969
776.4527	1251.3624	2203.7314	3342.8604
5194.1563	8773.5840	15666.1143	24444.1016
450.2690	715.8524	1233.3380	1902.6171
1700.0134	2663.6577	4694.4497	7339.8828
512.9028	739.5914	1321.5603	2088.7188
342.1897	519.2982	914.6250	1512.8182
6350.0537	9694.0469	16565.0059	22923.4043
427.8992	667.8761	1097.9032	1804.4661
429.2537	625.6342	1099.1927	1768.6962
706.9783	1025.9104	1740.8214	3552.8333
897.0939	1407.0269	2536.4832	3928.8445
539.5000	744.2500	1332.0000	1882.9773
416.8421	660.0000	1115.8334	1890.7693
523.9735	848.5305	1363.0560	2137.9529
3533.2751	5857.6978	10199.0137	16265.7852
294.0000	477.0000	830.0000	1983.5000
320.2584	475.4651	855.9692	1339.1111
396.6667	622.3040	1025.2205	1683.7264
973.5270	1561.8014	2873.0625	4508.2520
206.0000	353.0000	697.0000	1397.0000
481.6000	749.7692	1415.5385	2368.1819
907.5101	1480.7853	2549.8792	4003.8926
529.8926	818.9847	1454.2195	2227.8545
422.0000	674.0000	1200.3334	1853.0000
318.0000	542.0000	864.0000	1445.0000
449.0000	682.0000	1170.0000	1973.3334
504.1463	759.3148	1351.0349	2242.1707
382.7143	556.6818	982.0000	1457.3077
665.0156	1040.6693	1803.6084	2883.8347
352.7848	551.2439	1030.8334	1492.7172
4545.0669	6857.2231	12503.3359	18471.0000
858.3154	1338.8256	2403.9324	3853.4160
743.5344	1184.7175	2066.2422	3261.0615
441.0000	693.1328	1303.2518	1912.7260
382.8933	545.8430	953.3714	1640.8077
442.5636	710.7368	1274.7307	1768.9642
1097.5570	1704.1744	3099.7986	4727.5171
421.6720	690.1250	1160.8120	1995.0667
262.0000	394.0000	752.0000	1000.0000
480.3500	606.4516	1135.9615	1504.7222
415.5926	586.1964	1067.8918	1775.7667
472.0000	731.9334	1233.8823	1832.4210
1397.2365	2215.3354	3887.2771	6280.8467
3649.2349	5771.6377	10256.6582	15165.4492
1064.2109	1628.1007	2764.8792	4563.9111
335.2105	540.4117	1035.8125	1481.0000
578.4573	906.3333	1608.5354	2684.2234
340.0000	387.0000	819.0000	1156.0000
1163.1096	1859.8176	3299.7974	5254.4780
830.5369	1292.6418	2262.4729	3559.7297
1031.4296	1542.3154	2757.0872	4123.7539
503.0000	762.1667	1197.9200	1811.4500
5486.2349	8474.5908	14792.0801	23525.9395
375.9355	525.2188	1042.9500	1486.3889
500.0000	717.0000	1237.0000	2109.5000
270.0000	471.0000	719.0000	1193.0000
